-38.1	-38.1	-45.2536
-45.2536	-53.7144	-53.7151
-45.2536	-53.7151	-45.2536
-45.2536	-45.2536	-38.1
-62.1752	-68.0642	-68.0715
-62.1752	-68.0715	-62.1752
-62.1752	-62.1752	-53.7151
-85.1574	-85.1574	-79.5621
-85.1574	-79.5621	-73.9531
-73.9531	-79.5621	-73.9531
-73.9531	-73.9531	-68.0715
25.6705	26.1226	25.8517
-121.046	-130.205	-121.046
-221.697	-218.862	-216.339
-139.353	-146.078	-139.353
-139.353	-139.353	-130.205
-152.789	-159.365	-152.789
-152.789	-152.789	-146.078
-165.925	-172.123	-165.925
-165.925	-165.925	-159.365
-191.268	-191.268	-184.791
-178.288	-184.791	-178.288
-178.288	-178.288	-172.123
-219.707	-223.092	-219.707
-226.477	-223.092	-226.462
108.237	112.809	105.874
-238.591	-241.261	-243.93
25.8887	25.8418	26.5943
176.326	181.235	169.96
-243.93	-241.261	-233.217
-76.2	-81.9384	-81.9384
224.138	217.188	225.197
-111.08	-105.081	-105.081
-246.033	-238.201	-243.384
-123.904	-117.492	-117.492
-136.779	-130.342	-130.342
-123.904	-130.342	-130.342
-136.779	-142.865	-142.865
26.9213	32.5107	26.149
-176.587	-168.703	-168.703
-176.587	-184.528	-184.528
100.698	109.042	106.924
-205.516	-212.379	-212.379
-265.611	-259.758	-259.758
-253.906	-259.758	-259.758
-265.611	-271.037	-271.037
-276.464	-281.332	-281.332
-286.2	-291.186	-291.186
-305.418	-300.795	-300.795
-305.418	-300.795	-300.795
-314.849	-310.134	-310.134
312.871	309.441	311.658
-323.481	-319.165	-319.165
-330.921	-327.201	-327.201
-337.282	-334.101	-330.921
-351.903	-353.963	-356.022
-342.68	-339.981	-337.282
-342.68	-345.028	-347.376
-347.376	-345.028	-342.68
374.908	374.985	374.956
-351.903	-349.639	-347.376
-351.903	-353.963	-356.022
-356.022	-353.963	-351.903
-356.022	-358.114	-360.207
-360.207	-358.114	-356.022
-360.207	-362.027	-363.848
-363.848	-362.027	-360.207
-342.68	-345.028	-347.376
-366.669	-365.259	-363.848
324.155	322.952	319.275
-369.177	-367.923	-366.669
-371.068	-370.122	-369.177
-371.068	-371.857	-372.645
-372.645	-371.857	-371.068
-374.02	-373.333	-373.333
-372.645	-373.333	-373.333
346.457	346.714	351.049
-374.889	-374.623	-374.623
-374.978	-374.907	-374.835
-374.835	-374.907	-374.978
-374.185	-374.51	-374.835
-374.185	-373.629	-373.074
-373.074	-373.629	-374.185
-373.074	-372.321	-371.569
-371.569	-372.321	-373.074
372.845	373.728	373.421
-368.414	-369.88	-369.88
294.732	290.436	292.245
-366.006	-368.414	-367.926
317.485	312.673	312.673
-363.089	-366.006	-365.367
-359.642	-363.089	-362.33
-358.746	-356.654	-354.562
-354.562	-356.654	-358.746
-242.672	-237.535	-238.168
-353.573	-350.604	-350.604
-337.075	-342.312	-341.069
-342.312	-347.182	-346.041
125.081	131.599	123.169
-337.075	-342.312	-341.069
372.897	372.232	371.672
-322.478	-325.839	-329.2
-322.8	-326.154	-329.509
-313.758	-316.611	-311.382
-321.284	-315.23	-316.736
341.687	339.099	344.998
156.567	150.039	156.804
356.065	353.16	353.16
-294.847	-299.473	-304.099
-275.579	-280.396	-275.579
-285.213	-290.03	-294.847
-275.579	-269.539	-265.409
-275.579	-269.539	-269.539
-353.888	-349.255	-348.53
-345.044	-343.102	-344.317
49.6156	53.934	61.1305
-40.614	-49.594	-49.2343
-47.2777	-49.6171	-43.8578
-304.099	-299.473	-294.847
-62.0497	-53.9355	-61.1305
337.439	338.43	340.601
-348.584	-346.944	-345.659
-351.771	-354.716	-348.968
-138.014	-145.251	-144.08
-366.146	-367.467	-366.584
-152.154	-159.325	-157.843
-138.013	-143.595	-136.295
-310.054	-305.325	-306.237
-193.696	-198.369	-203.042
303.474	306.741	307.302
204.907	211.248	212.385
-106.937	-108.495	-100.124
-244.482	-250.308	-249.324
-260.808	-257.16	-254.316
-265.598	-270.003	-271.292
293.781	290.98	294.524
136.369	140.688	139.08
300.206	302.864	298.818
-307.302	-310.371	-313.945
-99.368	-100.382	-94.0329
338.774	341.283	344.112
330.493	328.209	324.595
329.371	331.58	334.958
333.81	336.204	338.774
-328.24	-331.347	-327.594
-104.667	-98.9251	-98.8698
-81.7653	-76.9089	-77.3785
49.6156	53.934	61.1305
83.449	78.5631	84.397
-374.975	-374.862	-374.845
374.956	374.975	374.966
-308.669	-305.593	-305.392
370.456	369.66	371.108
-373.895	-373.395	-373.803
-372.905	-371.917	-371.709
-275.953	-279.456	-284.11
-369.335	-370.732	-370.64
-367.368	-366.402	-364.657
364.79	362.128	364.267
364.267	365.351	366.243
-363.732	-362.514	-362.907
-360.978	-362.907	-361.297
-357.254	-355.066	-355.347
-329.649	-325.971	-329.648
-345.414	-346.908	-344.639
-333.81	-336.204	-338.774
-337.139	-335.228	-333.938
340.466	336.036	337.15
310.109	304.74	308.237
-313.685	-308.785	-313.533
313.938	317.847	313.44
305.086	310.236	304.871
204.304	212.808	204.304
-284.896	-284.675	-289.872
-224.944	-229.677	-231.714
210.548	217.447	216.336
189.556	191.049	195.301
170.919	166.231	173.567
-173.385	-168.86	-174.664
-129.37	-127.148	-131.407
313.705	310.304	313.878
118.826	114.636	115.11
-369.32	-370.368	-368.747
328.027	324.885	325.891
-358.0	-353.894	-353.849
-353.303	-350.464	-353.166
111.155	105.143	105.143
-26.3327	-25.9734	-26.1645
-333.125	-334.806	-331.347
328.301	324.155	327.171
-330.921	-334.101	-337.282
360.3	361.659	362.305
